id	p	a1	a2
1	a man's body cast a shadow over the grass .	the sun is rising .	the grass is being cut .
2	the man is angry .	someone made a cursing gesture .	the kids are smiling .
3	there was a car accident .	a black coffee is in the table .	there are two mugs of beer .
12	a woman is lying in a hospital bed .	the woman is cleaning her house .	a surgery procedure is ongoing .
13	the pond froze .	a person is skating .	a person is rowing a boat .
14	the gavel is put down .	a girl is locked in jail .	there is a bicycle wheel in the rack .
36	the girl is shocked in bed .	the alarm clock is shut off .	a girl is ironing her pants .
39	the girl is knitting a yam .	there is a cotton shirt .	there is a knitted shirt .
45	a bird is on the ground .	birds are flying .	a chicken is injured. .
46	the girl is praying .	there is a black cat .	there are shooting stars in the sky .
49	he threw his food in the garbage .	the bread came fresh out from the oven .	the bread is covered with molds .
51	a girl is drinking a water from the fountain .	a boy is reaching for a bottled water .	a woman is covering her mouth .
53	the woman is lifting weights .	the gym closed .	a woman has big muscles .
54	someone is cooking food .	there is a slice of pizza .	there is a dish of stir-fry .
57	someone is severly wounded .	someone is donating blood .	someone is writing a poem .
62	a man feels his stomach is aching .	the apple is rotten .	there are three apples .
65	the dog is being checked by a veterinarian .	the dog is chewing a bone .	an injured dog is hiding below .
71	the terrorist set off the bomb .	the car exploded .	a land mine is installed .
78	there is a bone on the floor. .	the dog jumped .	the dog is chewing a bone .
81	the bottle is tipped .	the liquid in the bottle froze .	water is falling out from a cup .
86	a robber raised his gun to another person .	there are police on standby .	a girl called a taxi .
87	a woman is experiencing stomach pain .	someone is walking on a treadmill .	someone is eating a cake .
88	there are dirty plates in the sink .	someone is eating .	someone is drinking water .
94	a girl fell on the ground .	the tile is wet .	the tile is cracked .
95	the man is getting his beard shaved .	a man has a full beard .	a man does not have a beard .
99	the shop is closed .	there are lots of customers in the shop .	the alley is dark .
100	the driver got pulled over by the police .	a car is parked in a parking lot .	the car passed by quickly .
108	there is a tissue on a table .	there is a cracked watermelon on the floor .	the floor is clean .
125	the turtle hid in its shell .	the turtle is eating vegetables .	there is a crocodile .
131	a person is washing his hands with soap .	the soap foamed in his hands .	a person's hands are dirty .
140	a robber is trying to open a window .	a person and a dog are asleep .	the alarm went off .
147	a woman is ironing her clothes .	the shirt is folded .	the shirt is wrinkled .
154	a man is opening a wine .	there is a cup of tea .	red wine is poured over the glass .
156	a boy is drinking his water .	a man is walking upstairs .	a man is running .
161	the players gave each other high fives .	the player got a penalty .	the player scored a point .
162	the baseball is batted high .	the ball is on the ground .	the ball reached the audience seats .
163	garlics are on the cutting boad. .	she is wiping her mouth. .	she is cleaning her teeth. .
168	the car is towed .	there is no parking sign .	there is a blue parking lot sign .
174	a girl climbed up a tree .	a cat got stuck in the tree .	there are bird nests in the tree .
176	there is a red exit button on the remote control. .	two kids are watching television. .	he is reading the book with a child. .
179	the boat capsized .	the boat is getting ready to sail .	there is a storm coming .
183	the seeds were sown in the soil. .	there is a watering can. .	the seeds sprouted. .
185	there is a sratch on the skin. .	an ambulance is on the street. .	there are plastic bandages. .
186	a man is getting an x-ray .	lungs are shown on the x-ray .	a man's arm is bandaged .
187	there is a pail full of sand .	there are lots of seashells .	a sand castle is built beside the sea .
188	someone is fixing the motherboard. .	there is a recycle bin icon. .	a new software is being installed. .
194	a woman is leaning on the window. .	the train is running next to seashore. .	the family is smiling. .
198	the smoke alarm went off.  .	i lit a candle. .	the food was burnt. .
201	the man has lipstick on his cheek .	a woman kissed a man .	the man is looking at someone .
202	a man is running away .	there is a bear in front .	a man is laughing .
203	a boy is watering the plants .	some plants are dead .	flowers bloom on the plants .
204	a water pipe burst .	the water was unsanitary .	the pipe froze .
205	a girl's pants is loose .	belt is used .	a girl put on a hat .
206	there are sofa and table in the living room .	there is a factory beside the sea .	the light is shining in the house .
207	company workers are working around conveyer belt .	there is a factory beside the sea .	the light is shining in the house .
208	the man had a toothache .	the man had a dental appointment .	the man got injury on the ground .
209	a baseball player is disappointed .	a player hurts his leg .	the players are pumping themselves up .
213	a man is on the peak of a mountain .	there is an avalanche .	the man rejoiced .
214	kids are throwing stones .	the window cracked .	a boy is drawing on a foggy window .
215	there is a big christmas tree .	christmas socks are hanged on the wall .	there is a red sock .
216	the hair of the woman is curled .	the woman took a bath .	she dried her hair .
217	travelers crossed the desert .	there is a scorpion .	there is a penguin .
218	people are eating sea food .	they have red wine .	they have white wine .
221	the woman is pregnant .	the man huged his girl friend .	the woman is lifting her baby .
222	the baby is crying .	two babies are playing .	a woman gave her baby a toy .
223	there is a police car .	there is a police line around a crime scene .	there is a traffic jam .
225	a soccer player kicks a ball .	the goalkeeper tries to block the ball .	a soccer player is throwing the ball .
227	the judge is asking a question .	there are police on standby .	a prisoner is locked on jail .
228	a car is broken .	the car is getting fixed .	the car is getting washed .
229	people are jumping from the plane .	a person is bungee jumping .	a person is gliding down using a parachute .
231	scissors is used on the paper .	the paper is cut apart .	there is a crumpled paper and a pencil .
233	the instructor is teaching students .	the students have lunch on the table .	the students raised their hands in the class .
234	there is a bear in front .	the man is shocked .	the man is glaring .
235	the balloon expanded .	a girl is blowing the balloon .	a balloon is bursted .
237	the man is wearing cast on his feet .	he smells her shoes .	he injured his feet .
240	a man is looking at a painting in the gallery .	the gallery is preparing to open with paintings .	there are photos of persons in a frame on the office .
241	a woman's makeup is very thick .	a woman is doing her makeup .	a woman is sitting inside the sauna .
242	a woman is putting her clothes into the laundry machine .	the laundry machine is running .	the woman is trying to go inside the laundry machine .
